Customer ID;Number of Transaction;Number of Line;Line Category;TerritoryKey;Quantity;Total Spend;AOV;Churn
11019;4;6;Med 1;6;11;88.4;22.1;0
11024;1;3;Low;4;6;14.2;14.2;1
11030;1;1;Low;9;1;2071.4;2071.4;0
11031;1;2;Low;9;2;2073.7;2073.7;0
11032;1;7;Med 2;9;12;2150.7;2150.7;0
11033;1;2;Low;9;2;2105.1;2105.1;0
11034;1;1;Low;9;1;2049.1;2049.1;0
11035;1;1;Low;9;1;2071.4;2071.4;0
11038;1;1;Low;9;1;2071.4;2071.4;0
11039;1;4;Med 1;9;6;2202.4;2202.4;0
11043;1;1;Low;4;1;35;35;1
11066;1;2;Low;1;2;37.6;37.6;1
11067;1;2;Low;1;3;6.3;6.3;1
11068;1;2;Low;9;4;15;15;0
11073;1;3;Low;9;6;22.6;22.6;1
11078;3;5;Med 1;6;7;222.6;74.2;0
11079;1;3;Low;9;7;22.6;22.6;1
11086;1;2;Low;4;4;52.1;52.1;0
11087;1;2;Low;4;3;37.3;37.3;1
11091;6;16;High;6;23;337.6;56.3;0
11094;1;2;Low;9;4;128;128;1
11096;1;2;Low;9;2;2392.7;2392.7;1
11097;1;2;Low;9;2;2419.1;2419.1;1
11098;1;1;Low;9;1;54;54;0
11099;1;4;Med 1;9;5;2452;2452;1
11100;1;3;Low;9;5;2398.1;2398.1;1
11102;1;1;Low;9;2;8;8;0
11110;1;3;Low;9;4;2398.1;2398.1;1
11111;1;3;Low;9;5;2418.1;2418.1;1
11112;1;2;Low;9;2;2419.1;2419.1;1
11114;1;3;Low;9;4;50;50;0
11116;1;4;Med 1;9;4;113.5;113.5;0
11118;1;4;Med 1;9;7;77.9;77.9;0
11121;1;3;Low;9;5;35.2;35.2;0
11122;2;2;Low;9;4;35;17.5;1
11125;1;3;Low;9;6;32.3;32.3;1
11128;1;5;Med 1;1;8;88.6;88.6;1
11137;1;3;Low;1;4;196.3;196.3;1
11138;1;2;Low;4;2;37.6;37.6;1
11139;1;2;Low;9;3;56.7;56.7;0
11141;1;3;Low;4;5;75;75;1
11142;5;9;Med 2;6;16;233.2;46.6;0
11146;2;2;Low;9;3;59;29.5;1
11150;1;1;Low;9;2;8.6;8.6;1
11157;2;3;Low;1;5;41.3;20.6;1
11159;1;2;Low;4;3;6.3;6.3;0
11163;1;3;Low;4;6;42.3;42.3;1
11164;1;4;Med 1;4;5;138.5;138.5;1
11169;1;3;Low;4;5;42.3;42.3;1
11170;1;3;Low;1;5;59.3;59.3;1
11174;2;5;Med 1;4;9;48.6;24.3;1
11176;6;12;High;6;20;169.6;28.3;0
11180;1;4;Med 1;4;6;98.5;98.5;1
11181;1;1;Low;4;3;4;4;1
11182;1;3;Low;1;5;42.3;42.3;1
11184;1;3;Low;4;5;62;62;0
11185;12;28;High;6;46;704.6;58.7;0
11187;1;2;Low;1;2;40;40;1
11190;1;2;Low;4;3;6.3;6.3;1
11192;1;3;Low;1;5;73.6;73.6;1
11193;1;2;Low;1;4;6.3;6.3;1
11196;1;3;Low;1;4;160;160;1
11197;1;3;Low;1;5;165.3;165.3;1
11200;7;15;High;6;23;353.5;50.5;0
11201;2;6;Med 1;4;8;177.7;88.8;1
11202;2;3;Low;4;3;72.6;36.3;1
11203;3;5;Med 1;6;8;117.5;39.2;0
11205;1;1;Low;1;1;35;35;0
11208;1;1;Low;4;3;2.3;2.3;1
11210;1;2;Low;4;4;27.5;27.5;1
11211;5;8;Med 2;6;10;247.6;49.5;0
11212;5;10;High;6;16;333.2;66.6;0
11213;1;3;Low;1;4;75;75;1
11214;1;1;Low;1;3;2.3;2.3;0
11215;4;7;Med 2;6;9;248.9;62.2;0
11223;7;20;High;6;33;426.6;60.9;0
11229;1;3;Low;4;5;42.3;42.3;1
11230;1;2;Low;4;3;11.9;11.9;0
11232;1;1;Low;1;2;2.3;2.3;0
11234;1;2;Low;4;3;37.3;37.3;1
11235;1;3;Low;1;4;73.6;73.6;1
11237;1;2;Low;8;2;2419.1;2419.1;0
11241;1;6;Med 1;7;7;2588;2588;0
11242;1;1;Low;7;1;2384.1;2384.1;0
11244;1;5;Med 1;10;8;609.1;609.1;1
11245;1;3;Low;8;6;2418.1;2418.1;0
11247;1;4;Med 1;10;6;587.6;587.6;1
11248;1;3;Low;7;6;37.5;37.5;1
11249;1;4;Med 1;8;5;2420.3;2420.3;1
11250;1;4;Med 1;10;9;589;589;1
11253;4;4;Med 1;6;6;94.9;23.7;0
11258;1;1;Low;4;1;35;35;1
11262;9;25;High;6;46;353.5;39.3;0
11269;2;3;Low;4;6;42.3;21.1;1
11276;7;17;High;6;27;313.5;44.8;0
11277;9;22;High;6;41;478.1;53.1;0
11280;2;4;Med 1;1;4;77.3;38.6;1
11283;1;1;Low;4;2;2.3;2.3;1
11285;1;4;Med 1;4;7;125.5;125.5;0
11287;5;9;Med 2;6;18;210.1;42;0
11288;1;3;Low;4;3;75;75;1
11294;1;1;Low;1;2;2.3;2.3;1
11300;12;29;High;6;47;511.6;42.6;0
11305;1;3;Low;4;4;73.6;73.6;1
11306;2;3;Low;4;4;42.3;21.1;1
11308;1;3;Low;1;4;92;92;1
11309;1;2;Low;1;3;40;40;1
11310;1;1;Low;4;2;2.3;2.3;0
11311;1;1;Low;1;2;2.3;2.3;1
11320;1;4;Med 1;4;7;69.9;69.9;1
11330;7;14;High;6;26;286.5;40.9;0
11331;5;12;High;6;21;304.4;60.9;0
11333;1;2;Low;10;2;2417.7;2417.7;1
11334;1;2;Low;10;2;2417.7;2417.7;1
11337;1;3;Low;10;5;2398.1;2398.1;1
11341;1;4;Med 1;10;7;2451.7;2451.7;1
11342;1;3;Low;7;5;47.6;47.6;1
11343;1;5;Med 1;10;8;2440.3;2440.3;1
11344;1;4;Med 1;10;7;2421.6;2421.6;1
11351;1;3;Low;10;6;2398.1;2398.1;1
11353;1;2;Low;10;3;2393.1;2393.1;1
11355;1;2;Low;10;4;14;14;1
11359;1;3;Low;9;4;826.5;826.5;0
11360;1;3;Low;9;4;848.1;848.1;0
11362;1;1;Low;9;1;48.1;48.1;1
11363;1;3;Low;9;3;893.5;893.5;0
11366;1;2;Low;9;4;27.3;27.3;1
11367;1;2;Low;9;3;57.1;57.1;0
11369;1;2;Low;9;3;56.7;56.7;0
11370;1;2;Low;9;4;30;30;0
11373;1;3;Low;8;7;37.5;37.5;1
11381;1;2;Low;10;2;2417.7;2417.7;1
11384;1;3;Low;7;6;47.6;47.6;1
11385;1;2;Low;10;4;14;14;1
11393;1;2;Low;7;4;14;14;1
11394;1;2;Low;10;2;2419.1;2419.1;1
11397;1;3;Low;7;4;37.5;37.5;1
11398;1;2;Low;10;2;2417.7;2417.7;1
11400;1;3;Low;10;4;1271.6;1271.6;1
11411;1;3;Low;8;6;37.5;37.5;1
11413;2;7;Med 2;10;10;1436.5;718.3;1
11414;2;5;Med 1;10;6;1392.8;696.4;1
11415;1;2;Low;8;4;14;14;1
11417;2;4;Med 1;7;6;2968;1484;0
11420;3;6;Med 1;7;8;3511.7;1170.6;0
11422;1;2;Low;10;2;776;776;0
11425;2;4;Med 1;7;5;2988;1494;0
11427;1;3;Low;8;5;1743.3;1743.3;0
