ProductKey;ProductSubcategoryKey;ProductSKU;ProductName;ModelName;ProductDescription;ProductColor;ProductSize;ProductStyle;ProductCost;ProductPrice
214;31;HL-U509-R;Sport-100 Helmet, Red;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Red;0;0;130.863;34.99
215;31;HL-U509;Sport-100 Helmet, Black;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Black;0;0;120.278;336.442
218;23;SO-B909-M;Mountain Bike Socks, M;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;White;M;U;33.963;9.5
219;23;SO-B909-L;Mountain Bike Socks, L;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;White;L;U;33.963;9.5
220;31;HL-U509-B;Sport-100 Helmet, Blue;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Blue;0;0;120.278;336.442
223;19;CA-1098;AWC Logo Cap;Cycling Cap;Traditional style with a flip-up brim;;;;;
226;21;LJ-0192-S;Long-Sleeve Logo Jersey, S;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;S;U;317.244;480.673
229;21;LJ-0192-M;Long-Sleeve Logo Jersey, M;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;M;U;317.244;480.673
232;21;LJ-0192-L;Long-Sleeve Logo Jersey, L;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;L;U;317.244;480.673
235;21;LJ-0192-X;Long-Sleeve Logo Jersey, XL;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;XL;U;317.244;480.673
238;14;FR-R92R-62;HL Road Frame - Red, 62;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
241;14;FR-R92R-44;HL Road Frame - Red, 44;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
244;14;FR-R92R-48;HL Road Frame - Red, 48;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy;;;;;
